N,English,Spanish
1,surpass,superar
2,to cope,para hacer frente
3,flawless,perfecto
4,reliability,fiabilidad
5,chains,cadenas
6,aware,consciente
7,filter bubbles,filtro burbuja
8,echo-chambers,eco-camaras
9,propaganda,propaganda
10,widely available,ampliamente disponible
11,footage,imagenes
12,seeing is believing,ver es creer
13,embodied,encarnada
14,reinforcement,reforzamiento
15,nebulous,nebuloso
16,for instance,por ejemplo
17,certain methods,ciertos métodos
18,overly-detailed,excesivamente detallado
19,factoids,factoides
20,witty dialogue,diálogo ingenioso
21,robothood,robothood
22,veneer,chapa
23,veneer on top,chapa en la parte superior
24,understandable,comprensible
25,squeeze,exprimir
26,handle,encargarse de
27,effortless,fácil
28,belies,desmiente
29,grasping,avaro
30,grasping objects,agarrar objetos
31,knocking,golpes
32,misleading,engañoso
33,capable of,capaz de
34,and so on,y así
35,coined,acuñado
36,bunch,manojo
37,realize,darse cuenta de
38,these questions make no sense,estas preguntas no tienen sentido
39,a pinch of AI,una pizca de AI
40,discourage,desalentar
41,discouragement,desaliento
42,despite our discouragement,a pesar de nuestro desaliento
43,headline,titular
44,spot,Mancha
45,spot signs,signos puntuales
46,outperforms,Supera
47,a big deal,un gran problema
48,subfield,subcampo
49,somewhat,algo
50,accrued,acumulado
51,pinch,pellizco
52,retrieval,recuperación
53,science-fictional depictions,representaciones de la ciencia-ficción
54,awkward gait,paso torpe
55,dishwashing,lavar platos
56,getting a piece,conseguir una pieza
57,rowboat,bote de remos
58,riddle,enigma
59,cumbersome,incómodo
60,forbidden,prohibido
61,pegs,clavijas
62,overall,en general
63,sake,motivo
64,buried her face,hundió la cara
65,despair,desesperación
66,pessimistic,pesimista
67,depicted,representado
68,tie,Corbata
69,conversely,Por el contrario
70,guarantees,garantías
71,grasped,agarrada
72,afford,permitirse
73,worth,valor
74,odds,posibilidades
75,deception,engaño
76,ahead,adelante
77,sudden,repentino
78,slightest,menor
79,dealing,relación comercial
80,of dealing with uncertainty,de hacer frente a la incertidumbre
81,fuzzy,borroso
82,mortgage,hipoteca
83,scope,alcance
84,paramount,supremo
85,paramount importance,primordial importancia
86,outweigh,pesar más que
87,harmful,perjudicial
88,forecasts,previsiones
89,indeed,en efecto
90,through odds,a través de probabilidades
91,frigging,frigging
92,trouble,problema
93,spits out,escupe
94,hopefully,Ojalá
95,purchase,compra
96,spick and span,impecable y limpio
97,caveat,consideración
98,prone,propenso
99,underlying,subyacente
100,loyalty,lealtad
101,loyalty cards,tarjetas de fidelización
102,tacitly,tácitamente
103,alleviated,aliviado
104,scarce,escaso
105,scarce and coarse,escaso y gruesa
106,self-fulfilling,autocumplida
107,prophecies,profecías
108,veggie-hating women,las mujeres vegetarianas que odia
109,sirloin steak,solomillo
110,jitters,nervios
111,jitters distract,nerviosismo distraer
112,retail,Al por menor
113,revenue,ingresos
114,excels,sobresale
115,fashion,Moda
116,insight,visión
117,and so forth,Etcétera
118,churning,batido
119,churning out,produciendo
120,sloppily,descuidadamente
121,err,errar
122,lingo,jerga
123,Isolated,Aislado
124,fellow-neurons,compañeros de neuronas
125,retrieve,recuperar
126,spikes,Picos
127,yodeling,yodeling
128,daunting,desalentadora
129,drifted,la deriva
130,astray,por mal camino
131,counterparts,contrapartes
132,somehow,de alguna manera
133,glaring eyes,ojos evidentes
134,humankind,humanidad
135,nukes,armas nucleares
136,doomsday,Día del Juicio Final
137,unaware,inconsciente
138,pervasive,penetrante
139,uprising,levantamiento
140,outsmart,burlar
141,outsmart humans,los seres humanos OUTSMART
142,naive,ingenuo
143,lively,animado
144,rewires,rewires
145,so far,hasta aquí
146,entity,entidad
147,all in all,considerándolo todo
148,gimmick,truco
149,portrayed,retratado
150,dissect,disecar
151,grim,severo
152,hedgehogs,erizos
153,witnessed,presenciado
154,rush,prisa
155,insurmountable,insuperable
156,dawned,amaneció
157,dawn,amanecer
